humidity,pressure,rain,lightAvg,lightMax,moisture,temperature
85.90071,1014.980851,2.25,4488.9103,54612,5.0567,22.65957
85.6338,1016.287324,4.5,4488.9103,54612,5,22.1338
91.5625,1017.750694,263.25,4488.9103,54612,5.6389,20.40972
86.06338,1018.630986,0,4488.9103,54612,5.8944,21.8169
86.74306,1017.300694,0,4488.9103,54612,5,21.44444
84,1010.272727,0,4488.9103,54612,5,21.67133
74.44366,1018.533099,0,4488.9103,54612,5,21.08451
72.51748,1010.717483,0,4488.9103,54612,5,21.33566
64.17857,1012.476429,0,4488.9103,54612,5,21.16429
67.93056,1012.602569,0,4488.9103,54612,5,20.34722
64.42657,1012.529371,0,4488.9103,54612,5,19.65734
68.13287,1018.983217,0,4488.9103,54612,4.2028,20.32867
74.8662,1017.524648,0,4488.9103,54612,4,20.02113
55.63889,1017.774306,0,4488.9103,54612,4,20.69444
50.77465,588.4661972,6.75,4488.9103,54612,4,20.03521
83.57746,452.0978873,0,4488.9103,54612,4,15.47887
81.73427,1020.41958,0,4488.9103,54612,4,18.31469
81.32639,1013.993264,0,4488.9103,54612,4,18.125
80.82517,1025.609091,0,4488.9103,54612,4,18.04895
74.1958,1005.032308,0,4488.9103,54612,4,18.22378
63.29787,1020.489362,0,4488.9103,54612,4,18.56028
58.71528,1019.160417,0,4488.9103,54612,4,17.97222
57.45139,1011.806944,0,4488.9103,54612,4,19.30556
49.40972,1013.020833,0,4488.9103,54612,4,20
53.94444,1014.925,0,4488.9103,54612,4,18.9375
52.02113,1021.641197,0,4488.9103,54612,3.5915,18.97887
53.74126,1020.688112,0,4488.9103,54612,3,18.00699
49.10417,1020.666667,0,4488.9103,54612,3,17.38889
53.67857,1021.317857,0,4488.9103,54612,3,17.83036
52.27083,1019.617569,0,4488.9103,54612,3,17.35417
55.43662,1024.034507,0,4488.9103,54612,3,17.35915
61.57143,1023.9,0,0,4000,3,12.57143
84.37209,1054.751163,0,771,4000,3.8372,16.02326
80.1194,1055.439552,0,4488.9103,54612,2.6269,16.26866
83.6194,1055.291791,0,4488.9103,54612,0.7015,13.21642
97.44444,1054.119048,0,4488.9103,54612,0,11.27778
82.41481,1053.457778,0,4488.9103,54612,0.9926,14.16296
76.79851,1053.315672,0,4488.9103,54612,2.5373,15.00746
73.8797,1053.218045,0,4488.9103,54612,4.0526,14.85714
69.61538,1053.413077,0,4488.9103,54612,5.1923,14.6
77.25564,1054.634586,0,4488.9103,54612,5.3233,14.10526
70.69697,1052.657576,0,4488.9103,54612,5.6894,15.47727
71.32061,1053.548855,0,4488.9103,54612,5.8015,15.63359
64.8806,1054.71791,0,4488.9103,54612,5.291,13.95522
50.52985,1053.056716,0,4488.9103,54612,8.3134,17.06716
60.78519,1051.011111,0,4488.9103,54612,5.1407,14.44444
76.37313,1051.876119,0,4488.9103,54612,2.5672,14.08209
82.50746,1054.952239,0,4488.9103,54612,1.3881,12.02239
75.74627,1052.053731,0,4488.9103,54612,2.9851,13.43284
73.4812,1050.310526,0,4488.9103,54612,3.9323,13.05263
66.03759,1052.415789,0,4488.9103,54612,5.2932,14.18045
64.90299,1055.583582,0,4488.9103,54612,5.9851,15.30597
66.25,1055.833333,0,4488.9103,54612,5.6591,15.15909
59.45238,1055.343651,0,4488.9103,54612,7.0159,14.63492
68.75188,1056.08797,0,4488.9103,54612,6.3835,13.14286
62.60448,1057.887313,0,4488.9103,54612,6.9925,13.54478
54.17557,1055.096183,0,4488.9103,54612,9.3359,14.58015
51.61856,1055.103093,0,5282.8254,54612,9.701,16.18557
56.41667,1010.450625,459,1154.4667,4089,0.0208,31.375
69.15,1008.474667,59982.75,11.3091,4000,0,29.225
66.64539,1007.40617,80000,12.1923,4000,0,29.00709
66.48872,1006.605113,75048.75,10.3143,4000,0,29.16541
66.96,967.86592,158,235.1452,4000,7.304,23.152
64.76316,1008.399474,0,2.4103,4000,16.8158,26.75
65.76316,1001.634107,126,629.7826,4000,31.2857,27.92857
66.76316,1002.401533,272.25,235.1452,4000,39.146,31.0438
62,1011.727826,0,69.9167,4000,73.3913,22.86957
60.83673,1012.661327,0,42.4,4000,75.9388,22.27551
59.425,1011.227833,0,42.64,4000,70.1333,22.60833
58.71324,1011.385662,0,35.2712,4000,65.7868,21.61029
57.67797,1012.635339,0,47.1,4000,69.6864,21.38983
53.75546,1048.197118,0,0,4000,0,20.38865
59.66667,1048.875159,0,0,4000,0,17.14286
59.66387,1050.871681,0,0,4000,0,16.56303
57.93233,1051.672632,0,0,4000,0,16.53383
61.03704,1053.282778,0,0,4000,0,13
31.07143,1053.110952,6.75,49.6905,4000,3.8095,26.7619
51.12766,1054.945532,0,19.7273,4000,5.7872,19.55319
54.74627,1055.168358,0,75.4426,4000,6.1418,16.73881
66.02273,1055.459697,0,50.8571,4000,7.697,12.72727
34.26923,1054.461462,0,28.8333,4000,4.5154,12.72727
34.26923,1053.450301,0,111.8361,4000,5.6917,12.72727
34.26923,1053.168731,0,115.3167,4000,5.0448,12.72727
34.26923,1053.02097,0,66.0333,4000,5.0299,12.72727
34.26923,1053.229254,0,50.5082,4000,5.0299,12.72727
34.26923,1054.279627,0,70.6885,4000,5.2164,12.72727
34.26923,1052.305682,0,85.7833,4000,5.0758,12.72727
34.26923,1053.224286,0,79.9167,4000,5.1128,12.72727
34.26923,1054.594478,0,93.1695,4000,6.0522,12.72727
34.26923,1052.967836,0,123.3729,4000,5.7164,12.72727
34.26923,1051.022463,0,83.7797,4000,6.2388,12.72727
34.26923,1051.827176,0,111.4107,4000,5.9695,12.72727
34.26923,1054.972609,0,0,4000,6.1304,12.72727
34.26923,1051.857402,0,81.9643,4000,6.0315,12.72727
34.26923,1050.13303,0,219.3966,7927,6.1818,12.72727
34.26923,1052.262406,0,537.7586,27883,5.4887,12.72727
34.26923,1055.29097,0,662.431,33578,5.209,12.72727
34.26923,1056.560455,0,29.0714,4000,6.2273,12.72727
34.26923,1055.047236,0,1166.9492,35534,5.2358,12.72727
34.26923,1055.766767,0,1125.7119,31082,5.3383,12.72727
34.26923,1057.711343,0,1219.1034,35411,5.4328,12.72727
34.26923,1054.865224,0,1164.7241,35663,5.5746,12.72727
34.26923,1054.739381,0,993,32785,5.2887,12.72727
85.83019,899.1026415,114.75,1458.9231,10031,17.5472,23.90566
67.31646,899.2087975,80000,11.1951,4000,17.5127,26.86709
68.20755,898.5453459,80000,11.6707,4000,19.5975,27.77358
69.15094,897.8472327,80000,10.575,4000,18.1258,29.45283
68.10084,899.0304202,80000,20.84,4000,14.3361,29.23529
75.07692,1004.995769,38.25,36428,54612,13.3077,19.88462
93.33898,1005.662373,2.25,7883.4483,54612,17.6949,24.64407
90.06452,1006.200968,0,1898.7297,4782,100,25.53226
83.0979,1005.989371,0,10565.3523,54612,100,26.88811
93.87097,1007.160484,0,4853.2581,22614,100,24.12903
85.33871,1006.333226,6.75,3109.1471,8377,52.5161,28.40323
93.85926,1007.132,621,10.575,4000,67.0296,25.53333
95.82143,1006.939571,4.5,10.575,4000,68.3786,25.33571
97.67857,1007.439357,63,10.575,4000,66.8071,24.52143
95.22727,1007.411364,2.25,10.575,4000,66,25.18182
97.85185,1008.366741,587.25,10.575,4000,67.7185,24.28148
95.41176,1006.236985,468,10.575,4000,67.3456,25.32353
99,1007.257185,1111.5,10.575,4000,68.6074,22.95556
98.79817,1007.357431,778.5,12.6769,4000,68.3394,22.57798
99,1007.492627,987.75,12.6769,4000,68.322,22.29661
91.12143,1007.122143,6.75,10.575,4000,66.9643,25.82857
87.73282,1006.394504,0,10.575,4000,65.374,25.87786
91.51079,1005.820072,623.25,10.575,4000,65.7554,25.20863
94.13669,1006.478129,330.75,10.575,4000,67.2446,24.58993
93.97163,1007.696809,18,1886.241,8210,67.078,24.89362
95.86713,1007.644336,2.25,1633.5476,6844,66.0699,25.51748
99,1007.559779,119.25,839.9146,5866,65.0956,24.30882
99,1007.756667,1075.5,459.5625,4000,67.8444,21.85185
99,1007.505957,308.25,349.4691,4000,67.4255,21.62411
99,1009.186397,337.5,312.4474,4000,67.7353,21.08088
98.91489,1010.282199,2.25,951.1235,4000,66.539,23.79433
97.78358,1012.72709,1617.75,1155.72,7439,66.6493,24.8209
98.8662,1010.708592,0,1086.122,7382,65.662,24.26056
99,1006.567535,144,650.0122,2259,66.0704,23.8169
99,1003.902908,402.75,923.9744,6580,66.305,23.49645
99,1006.058298,2414.25,550.2453,4000,67.1986,22.26241
96.03546,1007.350922,11.25,1128.8354,4659,65.6312,24.87234
95.95,1009.247571,0,1160.2436,4723,65,24.48571
96.53521,1011.641479,67.5,4772.6625,54612,65.0423,25.6338
97.64789,1009.275282,0,1057.557,4000,64.4437,24.82394
99,1008.453571,92.25,1057.557,4000,64.5357,23.79286
95.53237,1007.470719,0,1057.557,4000,64.4604,25.68345
98.25899,1009.263885,220.5,1057.557,4000,64.5108,25.06475
52.06667,1010.168963,1044,1057.557,4000,67.5185,12.14815
31,1000.119333,0,1057.557,4000,65.55,15
79.2,789.3926923,211.5,143.3125,4000,66.16,18.52
31,789.3926923,285.75,1979.0571,4000,67.7368,18
91.35714,789.3926923,400.5,35.1429,4000,66.8333,18.47619
95,789.3926923,693,0,4000,67.7143,21
99,981.8413514,0,267.2273,4000,65.2432,24.2973
93.92105,797.7234211,0,64.5,4000,64.7368,27.81579
99,1010.227,0,465.0769,4000,64,24.85
98.14925,1007.764776,18,589.2414,4000,64.0149,26.95522
99,789.3926923,1426.5,1307.7174,4000,67.4324,21.89189
95.46789,908.8221101,15.75,1057.557,4000,66.2752,25.51376
99,1011.309412,87.75,589.2414,4000,67.8529,23.5
99,1011.404211,2.25,0,4000,66,22.13158
99,1010.942857,11.25,4,4000,66,23.4
99,1011.18641,0,415.52,4000,65,22.61538
98.97248,686.7717431,18,1221.5882,4000,65,22.48624
99,942.5096471,209.25,1191.5714,4000,65.7294,21.03529
98.95283,842.2871698,0,1357.3898,4000,65.717,21.96226
97.16667,827.5075926,551.25,93.6667,4000,66.9074,20.88889
99,789.3926923,13.5,0,4000,66.4615,22.65385
99,789.3926923,0,0,4000,66.2105,20.94737
98.75949,789.3926923,0,1400.28,4000,65.3038,20.59494
99,789.3926923,344.25,35.1429,4000,66.8333,20.13889
94.62136,789.3926923,2.25,1205.1739,4000,65.932,22.50485
99,789.3926923,0,39,4000,65,22.41176
82.31325,789.3926923,0,454.2593,4000,64,25.85542
99,789.3926923,0,2619.8333,4000,64,23.83333
76.74545,907.0687879,13.51,1207.8913,4000,0.1,24.92929
71.51333,900.4232,0,6.1515,4000,2,25.78667
71.68056,899.7149306,0,6.1714,4000,2,27.61111
71,789.3926923,26,1,4000,1,25.5
71,825.8940909,42,1500.5,4000,7.4091,24.59091
96.0566,1008.378585,1140.75,11.561,4000,50.8302,25.37736
95.7554,1007.238489,0,13.1918,4000,43.0791,25.85612
95.40152,1006.499242,0,10.4848,4000,33.7197,26.08333
97.93388,1008.130496,0,531.8364,4000,55.562,24.54545
92.50526,1007.964947,0,561.6731,4000,100,25.93684
96.21667,1009.084167,0,1024.6,4000,8.1,28.53333
98.03704,1009.739037,357.75,531.8364,4000,8.1704,25.94074
98.87143,1009.62,0,531.8364,4000,10.5929,25.5
99,1010.056204,31.5,531.8364,4000,10.8978,24.59854
98.76866,1010.090299,0,531.8364,4000,9.791,25.38806
99,1011.053566,308.25,531.8364,4000,27.8527,24.69767
98.78641,1008.97699,4.5,531.8364,4000,33.8447,25.91262
99,1009.98,18,0,4000,24.0238,22.21429
99,1010.195915,774,531.8364,4000,20.4577,21.72535
98.85915,1009.905141,0,531.8364,4000,18.5282,24.73239
97.58451,1009.112183,0,5164.2794,54612,16.7042,24.88732
